symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
BTCUSDT,-450.78000000,-0.466,96583.06177303,96683.97000000,96233.19000000,0.00185000,96233.19000000,5.64896000,96233.20000000,2.10042000,96683.97000000,97234.02000000,95693.88000000,15104.22883000,1458812666.12190010,1732940496816,1733026896816,4177382859,4180775464,3392606
ETHUSDT,43.12000000,1.182,3687.54445496,3647.84000000,3690.96000000,0.01110000,3690.95000000,13.14910000,3690.96000000,33.65650000,3647.84000000,3738.98000000,3631.23000000,501115.62710000,1847886152.00559200,1732940496818,1733026896818,1856494967,1860982792,4487826
BNBUSDT,-6.95000000,-1.059,660.69913783,656.44000000,649.50000000,0.05800000,649.49000000,36.43200000,649.50000000,1.18700000,656.45000000,677.20000000,645.16000000,559388.36900000,369587413.10943000,1732940496818,1733026896818,869118984,870524398,1405415
BCCUSDT,0.00000000,0.000,0.00000000,448.70000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1732178017243,1732264417243,-1,-1,0
NEOUSDT,-0.15000000,-0.950,15.87807876,15.79000000,15.64000000,15.34000000,15.64000000,299.67000000,15.65000000,293.36000000,15.79000000,16.28000000,15.46000000,949436.52000000,15075227.83820000,1732940496084,1733026896084,113754862,113811820,56959
LTCUSDT,-0.59000000,-0.583,101.94281501,101.29000000,100.69000000,1.75000000,100.68000000,15.36500000,100.69000000,63.09300000,101.28000000,104.82000000,99.35000000,862297.22300000,87905006.28496000,1732940496665,1733026896665,373893791,374174334,280544
QTUMUSDT,-0.05900000,-1.519,3.88826826,3.88200000,3.82600000,1.10000000,3.82900000,37.30000000,3.83000000,350.00000000,3.88500000,3.97900000,3.77000000,729378.30000000,2836018.49160000,1732940496799,1733026896799,81310901,81329324,18424
ADAUSDT,-0.01810000,-1.701,1.09335895,1.06430000,1.04620000,97.00000000,1.04620000,4231.60000000,1.04630000,6438.80000000,1.06430000,1.14980000,1.03750000,369759287.90000000,404279628.51667000,1732940496781,1733026896781,540928731,541691207,762477
XRPUSDT,0.05720000,3.134,1.89262152,1.82490000,1.88210000,13.00000000,1.88210000,5496.00000000,1.88220000,11993.00000000,1.82490000,1.95750000,1.81850000,1022584329.35000000,1935365109.56564700,1732940496644,1733026896644,753756516,758068899,4312384
EOSUSDT,-0.01790000,-1.908,0.95047208,0.93830000,0.92040000,543.30000000,0.92040000,793.70000000,0.92050000,1248.70000000,0.93830000,0.98810000,0.91140000,52151142.20000000,49568204.44176000,1732940496638,1733026896638,245985764,246177411,191648
TUSDUSDT,0.00030000,0.030,1.00144760,1.00110000,1.00150000,40.00000000,1.00150000,8971.00000000,1.00160000,3032.00000000,1.00120000,1.00190000,1.00090000,698205.00000000,699215.72010000,1732940491193,1733026891193,54971595,54977023,5429
IOTAUSDT,0.00190000,0.729,0.27322686,0.26080000,0.26270000,570.00000000,0.26270000,2720.00000000,0.26280000,23.00000000,0.26080000,0.28910000,0.26030000,85778515.00000000,23436994.63010000,1732940494460,1733026894460,89426696,89531438,104743
XLMUSDT,-0.02860000,-5.393,0.52751003,0.53020000,0.50170000,274.00000000,0.50160000,15242.00000000,0.50170000,11705.00000000,0.53030000,0.56070000,0.49210000,735794048.00000000,388138738.48550000,1732940496763,1733026896763,177175540,178076476,900937
ONTUSDT,0.00000000,0.000,0.28489141,0.28240000,0.28240000,110.00000000,0.28230000,3078.00000000,0.28250000,7890.00000000,0.28240000,0.29290000,0.27640000,11098960.00000000,3161998.31530000,1732940495432,1733026895432,101776650,101802355,25706
TRXUSDT,-0.00060000,-0.294,0.20489280,0.20410000,0.20350000,6432.20000000,0.20350000,448331.70000000,0.20360000,123655.30000000,0.20410000,0.20720000,0.20230000,316078304.20000000,64762167.93524000,1732940496568,1733026896568,308609762,308794950,185189
ETCUSDT,-1.56000000,-4.640,32.88224409,33.62000000,32.06000000,11.31000000,32.06000000,59.96000000,32.07000000,436.88000000,33.62000000,34.00000000,31.63000000,1823042.06000000,59945713.99490000,1732940496137,1733026896137,215497691,215652954,155264
ICXUSDT,-0.00120000,-0.527,0.22843014,0.22760000,0.22640000,731.60000000,0.22640000,596.30000000,0.22650000,1135.00000000,0.22760000,0.23410000,0.22230000,10769251.00000000,2460021.52060000,1732940496078,1733026896078,56258790,56293986,35197
